Order Date,Sales
08-11-2016,261.96
08-11-2016,731.94
12-06-2016,14.62
11-10-2015,957.58
11-10-2015,22.37
09-06-2014,48.86
09-06-2014,7.28
09-06-2014,907.15
09-06-2014,18.50
09-06-2014,114.90
09-06-2014,1706.18
09-06-2014,911.42
15-04-2017,15.55
05-12-2016,407.98
22-11-2015,68.81
22-11-2015,2.54
11-11-2014,665.88
13-05-2014,55.50
27-08-2014,8.56
27-08-2014,213.48
27-08-2014,22.72
09-12-2016,19.46
09-12-2016,60.34
16-07-2017,71.37
25-09-2015,1044.63
16-01-2016,11.65
16-01-2016,90.57
17-09-2015,3083.43
17-09-2015,9.62
17-09-2015,124.20
17-09-2015,3.26
17-09-2015,86.30
17-09-2015,6.86
17-09-2015,15.76
19-10-2017,29.47
08-12-2016,1097.54
08-12-2016,190.92
27-12-2015,113.33
27-12-2015,532.40
27-12-2015,212.06
27-12-2015,371.17
10-09-2017,147.17
17-07-2016,77.88
19-09-2017,95.62
11-03-2016,45.98
11-03-2016,17.46
20-10-2014,211.96
20-06-2016,45.00
20-06-2016,21.80
18-04-2015,38.22
18-04-2015,75.18
18-04-2015,6.16
18-04-2015,89.99
11-12-2016,15.26
11-12-2016,1029.95
17-06-2016,208.56
17-06-2016,32.40
17-06-2016,319.41
17-06-2016,14.56
17-06-2016,30.00
17-06-2016,48.48
17-06-2016,1.68
24-11-2015,13.98
24-11-2015,25.82
24-11-2015,146.73
24-11-2015,79.76
30-04-2015,213.12
05-12-2014,1113.02
05-12-2014,167.97
04-06-2016,75.88
18-09-2016,4.62
14-09-2017,19.05
26-04-2015,831.94
26-04-2015,97.04
26-04-2015,72.78
09-12-2017,1.25
09-12-2017,9.71
09-12-2017,27.24
26-11-2014,19.30
12-06-2016,208.16
12-06-2016,16.74
12-10-2014,14.90
12-10-2014,21.39
03-09-2015,200.98
13-11-2017,230.38
28-05-2017,301.96
26-10-2017,19.99
26-10-2017,6.16
05-04-2016,158.37
17-09-2016,20.10
17-09-2016,73.58
17-09-2016,6.48
31-01-2015,12.96
31-01-2015,53.34
31-01-2015,32.96
06-11-2017,5.68
09-11-2017,96.53
17-06-2017,51.31
06-09-2016,77.88
29-08-2016,64.62
29-08-2016,95.98
29-08-2016,1.79
01-12-2016,23.92
13-11-2015,238.90
13-11-2015,102.36
13-11-2015,36.88
23-11-2017,74.11
23-11-2017,27.99
23-11-2017,3.30
15-10-2015,339.96
25-12-2017,41.96
03-11-2016,75.96
03-11-2016,27.24
